drugA	drugB	drugA_for_disease	drugB_for_disease	drugcomb	adv/app
DB00457	DB13657	True	False	('DB00457', 'DB13657')	1
DB00457	DB13722	True	False	('DB00457', 'DB13722')	1
DB00457	DB13783	True	False	('DB00457', 'DB13783')	1
DB00457	DB13860	True	False	('DB00457', 'DB13860')	1
DB00457	DB14059	True	False	('DB00457', 'DB14059')	1
DB00457	DB14060	True	False	('DB00457', 'DB14060')	1
DB00457	DB14938	True	False	('DB00457', 'DB14938')	1
DB00457	DB01050	True	False	('DB00457', 'DB01050')	1
DB00457	DB04828	True	False	('DB00457', 'DB04828')	1
DB00457	DB09212	True	False	('DB00457', 'DB09212')	1
DB00457	DB04552	True	False	('DB00457', 'DB04552')	1
DB00457	DB09236	True	False	('DB00457', 'DB09236')	1
DB00457	DB00898	True	False	('DB00457', 'DB00898')	1
DB00457	DB09227	True	False	('DB00457', 'DB09227')	1
DB00457	DB13967	True	False	('DB00457', 'DB13967')	1
DB00457	DB12010	True	False	('DB00457', 'DB12010')	1
DB00457	DB00795	True	False	('DB00457', 'DB00795')	1
DB00457	DB01051	True	False	('DB00457', 'DB01051')	1
DB00457	DB01094	True	False	('DB00457', 'DB01094')	1
DB00457	DB01129	True	False	('DB00457', 'DB01129')	1
DB00457	DB01685	True	False	('DB00457', 'DB01685')	1
DB00457	DB02115	True	False	('DB00457', 'DB02115')	1
DB00457	DB02703	True	False	('DB00457', 'DB02703')	1
DB00457	DB03467	True	False	('DB00457', 'DB03467')	1
DB00457	DB06210	True	False	('DB00457', 'DB06210')	1
DB00457	DB08880	True	False	('DB00457', 'DB08880')	1
DB00457	DB09061	True	False	('DB00457', 'DB09061')	1
DB00457	DB09073	True	False	('DB00457', 'DB09073')	1
DB00457	DB11963	True	False	('DB00457', 'DB11963')	1
DB00457	DB11978	True	False	('DB00457', 'DB11978')	1
DB00457	DB12141	True	False	('DB00457', 'DB12141')	1
DB00457	DB12267	True	False	('DB00457', 'DB12267')	1
DB00457	DB14011	True	False	('DB00457', 'DB14011')	1
DB00457	DB12500	True	False	('DB00457', 'DB12500')	1
DB00457	DB11757	True	False	('DB00457', 'DB11757')	1
DB00457	DB08881	True	False	('DB00457', 'DB08881')	1
DB00457	DB08916	True	False	('DB00457', 'DB08916')	1
DB00457	DB11633	True	False	('DB00457', 'DB11633')	1
DB00457	DB00503	True	False	('DB00457', 'DB00503')	1
DB00457	DB00530	True	False	('DB00457', 'DB00530')	1
DB00457	DB00619	True	False	('DB00457', 'DB00619')	1
DB00457	DB00783	True	False	('DB00457', 'DB00783')	1
DB00457	DB00921	True	False	('DB00457', 'DB00921')	1
DB00457	DB01232	True	False	('DB00457', 'DB01232')	1
DB00457	DB01234	True	False	('DB00457', 'DB01234')	1
DB00457	DB01254	True	False	('DB00457', 'DB01254')	1
DB00457	DB01268	True	False	('DB00457', 'DB01268')	1
DB00457	DB01645	True	False	('DB00457', 'DB01645')	1
DB00457	DB04216	True	False	('DB00457', 'DB04216')	1
DB00457	DB04348	True	False	('DB00457', 'DB04348')	1
DB00457	DB04868	True	False	('DB00457', 'DB04868')	1
DB00457	DB04881	True	False	('DB00457', 'DB04881')	1
DB00457	DB05294	True	False	('DB00457', 'DB05294')	1
DB00457	DB05928	True	False	('DB00457', 'DB05928')	1
DB00457	DB06290	True	False	('DB00457', 'DB06290')	1
DB00457	DB08828	True	False	('DB00457', 'DB08828')	1
DB00457	DB08864	True	False	('DB00457', 'DB08864')	1
DB00457	DB08896	True	False	('DB00457', 'DB08896')	1
DB00457	DB08901	True	False	('DB00457', 'DB08901')	1
DB00457	DB08912	True	False	('DB00457', 'DB08912')	1
DB00457	DB09065	True	False	('DB00457', 'DB09065')	1
DB00457	DB09102	True	False	('DB00457', 'DB09102')	1
DB00457	DB09183	True	False	('DB00457', 'DB09183')	1
DB00457	DB09291	True	False	('DB00457', 'DB09291')	1
DB00457	DB09297	True	False	('DB00457', 'DB09297')	1
DB00457	DB11363	True	False	('DB00457', 'DB11363')	1
DB00457	DB11581	True	False	('DB00457', 'DB11581')	1
DB00457	DB11613	True	False	('DB00457', 'DB11613')	1
DB00457	DB11995	True	False	('DB00457', 'DB11995')	1
DB00457	DB12001	True	False	('DB00457', 'DB12001')	1
DB00457	DB12026	True	False	('DB00457', 'DB12026')	1
DB00457	DB12332	True	False	('DB00457', 'DB12332')	1
DB00457	DB13874	True	False	('DB00457', 'DB13874')	1
DB00457	DB13878	True	False	('DB00457', 'DB13878')	1
DB00457	DB13879	True	False	('DB00457', 'DB13879')	1
DB00457	DB13952	True	False	('DB00457', 'DB13952')	1
DB00457	DB13953	True	False	('DB00457', 'DB13953')	1
DB00457	DB13954	True	False	('DB00457', 'DB13954')	1
DB00457	DB13955	True	False	('DB00457', 'DB13955')	1
DB00457	DB13956	True	False	('DB00457', 'DB13956')	1
DB00457	DB14840	True	False	('DB00457', 'DB14840')	1
DB00457	DB11796	True	False	('DB00457', 'DB11796')	1
DB00457	DB15822	True	False	('DB00457', 'DB15822')	1
DB00457	DB00845	True	False	('DB00457', 'DB00845')	1
DB00457	DB14649	True	False	('DB00457', 'DB14649')	1
DB00457	DB15133	True	False	('DB00457', 'DB15133')	1
DB00457	DB11800	True	False	('DB00457', 'DB11800')	1
DB00457	DB09330	True	False	('DB00457', 'DB09330')	1
DB00457	DB16703	True	False	('DB00457', 'DB16703')	1
DB00457	DB00536	True	False	('DB00457', 'DB00536')	1
DB00457	DB00594	True	False	('DB00457', 'DB00594')	1
DB00457	DB00668	True	False	('DB00457', 'DB00668')	1
DB00457	DB00914	True	False	('DB00457', 'DB00914')	1
DB00457	DB00915	True	False	('DB00457', 'DB00915')	1
DB00457	DB00917	True	False	('DB00457', 'DB00917')	1
DB00457	DB00927	True	False	('DB00457', 'DB00927')	1
DB00457	DB00988	True	False	('DB00457', 'DB00988')	1
DB00457	DB01032	True	False	('DB00457', 'DB01032')	1
DB00457	DB01035	True	False	('DB00457', 'DB01035')	1
DB00457	DB01075	True	False	('DB00457', 'DB01075')	1
DB00457	DB01114	True	False	('DB00457', 'DB01114')	1
DB00457	DB01273	True	False	('DB00457', 'DB01273')	1
DB00457	DB03034	True	False	('DB00457', 'DB03034')	1
DB00457	DB05381	True	False	('DB00457', 'DB05381')	1
DB00457	DB05383	True	False	('DB00457', 'DB05383')	1
DB00457	DB06608	True	False	('DB00457', 'DB06608')	1
DB00457	DB09555	True	False	('DB00457', 'DB09555')	1
DB00457	DB14006	True	False	('DB00457', 'DB14006')	1
DB00457	DB11901	True	False	('DB00457', 'DB11901')	1
DB00457	DB00468	True	False	('DB00457', 'DB00468')	1
DB00457	DB00501	True	False	('DB00457', 'DB00501')	1
DB00457	DB00515	True	False	('DB00457', 'DB00515')	1
DB00457	DB00555	True	False	('DB00457', 'DB00555')	1
DB00457	DB00690	True	False	('DB00457', 'DB00690')	1
DB00457	DB00758	True	False	('DB00457', 'DB00758')	1
DB00457	DB00863	True	False	('DB00457', 'DB00863')	1
DB00457	DB01103	True	False	('DB00457', 'DB01103')	1
DB00457	DB01118	True	False	('DB00457', 'DB01118')	1
DB00457	DB01151	True	False	('DB00457', 'DB01151')	1
DB00457	DB08865	True	False	('DB00457', 'DB08865')	1
DB00457	DB08882	True	False	('DB00457', 'DB08882')	1
DB00457	DB08930	True	False	('DB00457', 'DB08930')	1
DB00457	DB09078	True	False	('DB00457', 'DB09078')	1
DB00457	DB12147	True	False	('DB00457', 'DB12147')	1
DB00457	DB11652	True	False	('DB00457', 'DB11652')	1
DB00457	DB15442	True	False	('DB00457', 'DB15442')	1
DB00457	DB04540	True	False	('DB00457', 'DB04540')	1
DB00457	DB00728	True	False	('DB00457', 'DB00728')	1
DB00457	DB00787	True	False	('DB00457', 'DB00787')	1
DB00457	DB01004	True	False	('DB00457', 'DB01004')	1
DB00457	DB01199	True	False	('DB00457', 'DB01199')	1
DB00457	DB01337	True	False	('DB00457', 'DB01337')	1
DB00457	DB03128	True	False	('DB00457', 'DB03128')	1
DB00457	DB03566	True	False	('DB00457', 'DB03566')	1
DB00457	DB04830	True	False	('DB00457', 'DB04830')	1
DB00457	DB08838	True	False	('DB00457', 'DB08838')	1
DB00457	DB12598	True	False	('DB00457', 'DB12598')	1
DB00457	DB00625	True	False	('DB00457', 'DB00625')	1
DB00457	DB00709	True	False	('DB00457', 'DB00709')	1
DB00457	DB00987	True	False	('DB00457', 'DB00987')	1
DB00457	DB11642	True	False	('DB00457', 'DB11642')	1
DB00457	DB06707	True	False	('DB00457', 'DB06707')	1
DB00457	DB12927	True	False	('DB00457', 'DB12927')	1
DB00457	DB13917	True	False	('DB00457', 'DB13917')	1
DB00457	DB01579	True	False	('DB00457', 'DB01579')	1
DB00457	DB00852	True	False	('DB00457', 'DB00852')	1
DB00457	DB00865	True	False	('DB00457', 'DB00865')	1
DB00457	DB00937	True	False	('DB00457', 'DB00937')	1
DB00457	DB01255	True	False	('DB00457', 'DB01255')	1
DB00457	DB01365	True	False	('DB00457', 'DB01365')	1
DB00457	DB01442	True	False	('DB00457', 'DB01442')	1
DB00457	DB01454	True	False	('DB00457', 'DB01454')	1
DB00457	DB01467	True	False	('DB00457', 'DB01467')	1
DB00457	DB01484	True	False	('DB00457', 'DB01484')	1
DB00457	DB01509	True	False	('DB00457', 'DB01509')	1
DB00457	DB01556	True	False	('DB00457', 'DB01556')	1
DB00457	DB01566	True	False	('DB00457', 'DB01566')	1
DB00457	DB01576	True	False	('DB00457', 'DB01576')	1
DB00457	DB01577	True	False	('DB00457', 'DB01577')	1
DB00457	DB09480	True	False	('DB00457', 'DB09480')	1
DB00457	DB12080	True	False	('DB00457', 'DB12080')	1
DB00457	DB13108	True	False	('DB00457', 'DB13108')	1
DB00457	DB13624	True	False	('DB00457', 'DB13624')	1
DB00457	DB13703	True	False	('DB00457', 'DB13703')	1
DB00457	DB13940	True	False	('DB00457', 'DB13940')	1
DB00457	DB00492	True	False	('DB00457', 'DB00492')	1
DB00457	DB00519	True	False	('DB00457', 'DB00519')	1
DB00457	DB00524	True	False	('DB00457', 'DB00524')	1
DB00457	DB00528	True	False	('DB00457', 'DB00528')	1
DB00457	DB00542	True	False	('DB00457', 'DB00542')	1
DB00457	DB00559	True	True	('DB00457', 'DB00559')	1
DB00457	DB00571	True	False	('DB00457', 'DB00571')	1
DB00457	DB00575	True	True	('DB00457', 'DB00575')	1
DB00457	DB00584	True	False	('DB00457', 'DB00584')	1
DB00457	DB00590	True	True	('DB00457', 'DB00590')	1
DB00457	DB00598	True	False	('DB00457', 'DB00598')	1
DB00457	DB00606	True	False	('DB00457', 'DB00606')	1
DB00457	DB00612	True	False	('DB00457', 'DB00612')	1
DB00457	DB00616	True	False	('DB00457', 'DB00616')	1
DB00457	DB00622	True	False	('DB00457', 'DB00622')	1
DB00457	DB00629	True	False	('DB00457', 'DB00629')	1
DB00457	DB00657	True	True	('DB00457', 'DB00657')	1
DB00457	DB00678	True	False	('DB00457', 'DB00678')	1
DB00457	DB00691	True	False	('DB00457', 'DB00691')	1
DB00457	DB00692	True	False	('DB00457', 'DB00692')	1
DB00457	DB00700	True	False	('DB00457', 'DB00700')	1
DB00457	DB00722	True	False	('DB00457', 'DB00722')	1
DB00457	DB00727	True	False	('DB00457', 'DB00727')	1
DB00457	DB00765	True	True	('DB00457', 'DB00765')	1
DB00457	DB00774	True	False	('DB00457', 'DB00774')	1
DB00457	DB00785	True	False	('DB00457', 'DB00785')	1
DB00457	DB00790	True	False	('DB00457', 'DB00790')	1
DB00457	DB00796	True	False	('DB00457', 'DB00796')	1
DB00457	DB00797	True	False	('DB00457', 'DB00797')	1
DB00457	DB00800	True	False	('DB00457', 'DB00800')	1
DB00457	DB00808	True	False	('DB00457', 'DB00808')	1
DB00457	DB00820	True	True	('DB00457', 'DB00820')	1
DB00457	DB00866	True	False	('DB00457', 'DB00866')	1
DB00457	DB00876	True	False	('DB00457', 'DB00876')	1
DB00457	DB00880	True	False	('DB00457', 'DB00880')	1
DB00457	DB00881	True	False	('DB00457', 'DB00881')	1
DB00457	DB00886	True	False	('DB00457', 'DB00886')	1
DB00457	DB00925	True	False	('DB00457', 'DB00925')	1
DB00457	DB00960	True	False	('DB00457', 'DB00960')	1
DB00457	DB00966	True	False	('DB00457', 'DB00966')	1
DB00457	DB00968	True	True	('DB00457', 'DB00968')	1
DB00457	DB00999	True	False	('DB00457', 'DB00999')	1
DB00457	DB01018	True	True	('DB00457', 'DB01018')	1
DB00457	DB01021	True	False	('DB00457', 'DB01021')	1
DB00457	DB01023	True	False	('DB00457', 'DB01023')	1
DB00457	DB01029	True	False	('DB00457', 'DB01029')	1
DB00457	DB01054	True	False	('DB00457', 'DB01054')	1
DB00457	DB01089	True	True	('DB00457', 'DB01089')	1
DB00457	DB01090	True	False	('DB00457', 'DB01090')	1
DB00457	DB01116	True	True	('DB00457', 'DB01116')	1
DB00457	DB01136	True	False	('DB00457', 'DB01136')	1
DB00457	DB01158	True	False	('DB00457', 'DB01158')	1
DB00457	DB01162	True	False	('DB00457', 'DB01162')	1
DB00457	DB01170	True	True	('DB00457', 'DB01170')	1
DB00457	DB01180	True	True	('DB00457', 'DB01180')	1
DB00457	DB01193	True	False	('DB00457', 'DB01193')	1
DB00457	DB01197	True	False	('DB00457', 'DB01197')	1
DB00457	DB01203	True	False	('DB00457', 'DB01203')	1
DB00457	DB01240	True	False	('DB00457', 'DB01240')	1
DB00457	DB01244	True	False	('DB00457', 'DB01244')	1
DB00457	DB01275	True	True	('DB00457', 'DB01275')	1
DB00457	DB01295	True	False	('DB00457', 'DB01295')	1
DB00457	DB01297	True	False	('DB00457', 'DB01297')	1
DB00457	DB01340	True	False	('DB00457', 'DB01340')	1
DB00457	DB01347	True	False	('DB00457', 'DB01347')	1
DB00457	DB01348	True	False	('DB00457', 'DB01348')	1
DB00457	DB01359	True	False	('DB00457', 'DB01359')	1
DB00457	DB01388	True	False	('DB00457', 'DB01388')	1
DB00457	DB01580	True	False	('DB00457', 'DB01580')	1
DB00457	DB01626	True	True	('DB00457', 'DB01626')	1
DB00457	DB03322	True	False	('DB00457', 'DB03322')	1
DB00457	DB04831	True	False	('DB00457', 'DB04831')	1
DB00457	DB04840	True	True	('DB00457', 'DB04840')	1
DB00457	DB04846	True	False	('DB00457', 'DB04846')	1
DB00457	DB04861	True	False	('DB00457', 'DB04861')	1
DB00457	DB04948	True	False	('DB00457', 'DB04948')	1
DB00457	DB06268	True	False	('DB00457', 'DB06268')	1
DB00457	DB06403	True	True	('DB00457', 'DB06403')	1
DB00457	DB06445	True	False	('DB00457', 'DB06445')	1
DB00457	DB06712	True	False	('DB00457', 'DB06712')	1
DB00457	DB06762	True	True	('DB00457', 'DB06762')	1
DB00457	DB07767	True	False	('DB00457', 'DB07767')	1
DB00457	DB08808	True	False	('DB00457', 'DB08808')	1
DB00457	DB08836	True	False	('DB00457', 'DB08836')	1
DB00457	DB08931	True	True	('DB00457', 'DB08931')	1
DB00457	DB08932	True	True	('DB00457', 'DB08932')	1
DB00457	DB08950	True	False	('DB00457', 'DB08950')	1
DB00457	DB08952	True	False	('DB00457', 'DB08952')	1
DB00457	DB08960	True	False	('DB00457', 'DB08960')	1
DB00457	DB09026	True	False	('DB00457', 'DB09026')	1
DB00457	DB09206	True	True	('DB00457', 'DB09206')	1
DB00457	DB09220	True	False	('DB00457', 'DB09220')	1
DB00457	DB09235	True	False	('DB00457', 'DB09235')	1
DB00457	DB09238	True	False	('DB00457', 'DB09238')	1
DB00457	DB09239	True	False	('DB00457', 'DB09239')	1
DB00457	DB09242	True	True	('DB00457', 'DB09242')	1
DB00457	DB09363	True	True	('DB00457', 'DB09363')	1
DB00457	DB09477	True	False	('DB00457', 'DB09477')	1
DB00457	DB11362	True	False	('DB00457', 'DB11362')	1
DB00457	DB11720	True	False	('DB00457', 'DB11720')	1
DB00457	DB11738	True	True	('DB00457', 'DB11738')	1
DB00457	DB11770	True	False	('DB00457', 'DB11770')	1
DB00457	DB11783	True	False	('DB00457', 'DB11783')	1
DB00457	DB12054	True	False	('DB00457', 'DB12054')	1
DB00457	DB12092	True	False	('DB00457', 'DB12092')	1
DB00457	DB12093	True	False	('DB00457', 'DB12093')	1
DB00457	DB12212	True	False	('DB00457', 'DB12212')	1
DB00457	DB12661	True	True	('DB00457', 'DB12661')	1
DB00457	DB12766	True	False	('DB00457', 'DB12766')	1
DB00457	DB12945	True	True	('DB00457', 'DB12945')	1
DB00457	DB13166	True	False	('DB00457', 'DB13166')	1
DB00457	DB13211	True	True	('DB00457', 'DB13211')	1
DB00457	DB13312	True	False	('DB00457', 'DB13312')	1
DB00457	DB13374	True	False	('DB00457', 'DB13374')	1
DB00457	DB13400	True	False	('DB00457', 'DB13400')	1
DB00457	DB13410	True	True	('DB00457', 'DB13410')	1
DB00457	DB13429	True	True	('DB00457', 'DB13429')	1
DB00457	DB13435	True	True	('DB00457', 'DB13435')	1
DB00457	DB13443	True	False	('DB00457', 'DB13443')	1
DB00457	DB13452	True	True	('DB00457', 'DB13452')	1
DB00457	DB13508	True	False	('DB00457', 'DB13508')	1
DB00457	DB13532	True	False	('DB00457', 'DB13532')	1
DB00457	DB13575	True	True	('DB00457', 'DB13575')	1
DB00457	DB13604	True	True	('DB00457', 'DB13604')	1
DB00457	DB13631	True	True	('DB00457', 'DB13631')	1
DB00457	DB13757	True	False	('DB00457', 'DB13757')	1
DB00457	DB13779	True	True	('DB00457', 'DB13779')	1
DB00457	DB13801	True	False	('DB00457', 'DB13801')	1
DB00457	DB13803	True	False	('DB00457', 'DB13803')	1
DB00457	DB13919	True	False	('DB00457', 'DB13919')	1
DB00457	DB14068	True	False	('DB00457', 'DB14068')	1
DB00457	DB14094	True	False	('DB00457', 'DB14094')	1
DB00457	DB14125	True	False	('DB00457', 'DB14125')	1
DB00457	DB14207	True	False	('DB00457', 'DB14207')	1
DB00457	DB14208	True	False	('DB00457', 'DB14208')	1
DB00457	DB14213	True	False	('DB00457', 'DB14213')	1
DB00457	DB14217	True	False	('DB00457', 'DB14217')	1
DB00457	DB00695	True	False	('DB00457', 'DB00695')	1
DB00457	DB08822	True	False	('DB00457', 'DB08822')	1
DB00457	DB09237	True	False	('DB00457', 'DB09237')	1
DB00457	DB15861	True	False	('DB00457', 'DB15861')	1
DB00457	DB00489	True	False	('DB00457', 'DB00489')	1
DB00457	DB01182	True	False	('DB00457', 'DB01182')	1
DB00457	DB06726	True	False	('DB00457', 'DB06726')	1
DB00457	DB08807	True	False	('DB00457', 'DB08807')	1
DB00457	DB09204	True	False	('DB00457', 'DB09204')	1
DB00457	DB09351	True	False	('DB00457', 'DB09351')	1
DB00457	DB11785	True	False	('DB00457', 'DB11785')	1
DB00457	DB12752	True	False	('DB00457', 'DB12752')	1
DB00457	DB13530	True	False	('DB00457', 'DB13530')	1
DB00457	DB13775	True	False	('DB00457', 'DB13775')	1
DB00457	DB01224	True	False	('DB00457', 'DB01224')	1
DB00457	DB11732	True	False	('DB00457', 'DB11732')	1
DB00457	DB12941	True	False	('DB00457', 'DB12941')	1
DB00457	DB11644	True	False	('DB00457', 'DB11644')	1
DB00457	DB01020	True	False	('DB00457', 'DB01020')	1
DB00457	DB00562	True	False	('DB00457', 'DB00562')	1
DB00457	DB13430	True	False	('DB00457', 'DB13430')	1
DB00457	DB11791	True	False	('DB00457', 'DB11791')	1
DB00457	DB00935	True	False	('DB00457', 'DB00935')	1
DB00457	DB04854	True	False	('DB00457', 'DB04854')	1
DB00457	DB16629	True	False	('DB00457', 'DB16629')	1
DB00457	DB06207	True	False	('DB00457', 'DB06207')	1
DB00457	DB12265	True	False	('DB00457', 'DB12265')	1
DB00457	DB01167	True	False	('DB00457', 'DB01167')	1
DB00457	DB09027	True	False	('DB00457', 'DB09027')	1
DB00457	DB11574	True	False	('DB00457', 'DB11574')	1
DB00457	DB11575	True	False	('DB00457', 'DB11575')	1
DB00457	DB14895	True	False	('DB00457', 'DB14895')	1
DB00457	DB11201	True	False	('DB00457', 'DB11201')	1
DB00457	DB11323	True	False	('DB00457', 'DB11323')	1
DB00457	DB15226	True	False	('DB00457', 'DB15226')	1
DB00457	DB06234	True	False	('DB00457', 'DB06234')	1
DB00457	DB05667	True	False	('DB00457', 'DB05667')	1
DB00457	DB12713	True	False	('DB00457', 'DB12713')	1
DB00457	DB06714	True	False	('DB00457', 'DB06714')	1
DB00457	DB04847	True	False	('DB00457', 'DB04847')	1
DB00457	DB11697	True	False	('DB00457', 'DB11697')	1
DB00457	DB13055	True	False	('DB00457', 'DB13055')	1
DB00457	DB09517	True	False	('DB00457', 'DB09517')	1
DB00457	DB09118	True	False	('DB00457', 'DB09118')	1
DB00457	DB15569	True	False	('DB00457', 'DB15569')	1
DB00457	DB05154	True	False	('DB00457', 'DB05154')	1
DB00457	DB05084	True	False	('DB00457', 'DB05084')	1
DB00457	DB06374	True	False	('DB00457', 'DB06374')	1
DB00457	DB17472	True	False	('DB00457', 'DB17472')	1
DB00457	DB12548	True	False	('DB00457', 'DB12548')	1
DB00457	DB16217	True	False	('DB00457', 'DB16217')	1
DB00457	DB12255	True	False	('DB00457', 'DB12255')	1
DB00457	DB11763	True	False	('DB00457', 'DB11763')	1
DB00457	DB11718	True	False	('DB00457', 'DB11718')	1
DB00457	DB12218	True	False	('DB00457', 'DB12218')	1
DB00457	DB16826	True	False	('DB00457', 'DB16826')	1
DB00458	DB01089	False	True	('DB00458', 'DB01089')	1
DB00458	DB01180	False	True	('DB00458', 'DB01180')	1
DB00458	DB09363	False	True	('DB00458', 'DB09363')	1
DB00458	DB13211	False	True	('DB00458', 'DB13211')	1
DB00458	DB13410	False	True	('DB00458', 'DB13410')	1
DB00458	DB13429	False	True	('DB00458', 'DB13429')	1
DB00458	DB13435	False	True	('DB00458', 'DB13435')	1
DB00458	DB13452	False	True	('DB00458', 'DB13452')	1
DB00458	DB13575	False	True	('DB00458', 'DB13575')	1
DB00458	DB13604	False	True	('DB00458', 'DB13604')	1
DB00458	DB13631	False	True	('DB00458', 'DB13631')	1
DB00458	DB13779	False	True	('DB00458', 'DB13779')	1
DB00458	DB06762	False	True	('DB00458', 'DB06762')	1
DB00458	DB08931	False	True	('DB00458', 'DB08931')	1
DB00458	DB00559	False	True	('DB00458', 'DB00559')	1
DB00458	DB01119	False	True	('DB00458', 'DB01119')	1
DB00458	DB00765	False	True	('DB00458', 'DB00765')	1
DB00458	DB09242	False	True	('DB00458', 'DB09242')	1
DB00458	DB00968	False	True	('DB00458', 'DB00968')	1
DB00458	DB11738	False	True	('DB00458', 'DB11738')	1
DB00458	DB01626	False	True	('DB00458', 'DB01626')	1
DB00458	DB01018	False	True	('DB00458', 'DB01018')	1
DB00458	DB00820	False	True	('DB00458', 'DB00820')	1
DB00458	DB04840	False	True	('DB00458', 'DB04840')	1
DB00458	DB09206	False	True	('DB00458', 'DB09206')	1
DB00458	DB12661	False	True	('DB00458', 'DB12661')	1
DB00458	DB00590	False	True	('DB00458', 'DB00590')	1
DB00458	DB01170	False	True	('DB00458', 'DB01170')	1
DB00458	DB01275	False	True	('DB00458', 'DB01275')	1
DB00458	DB08932	False	True	('DB00458', 'DB08932')	1
DB00458	DB12945	False	True	('DB00458', 'DB12945')	1
DB00458	DB06403	False	True	('DB00458', 'DB06403')	1
DB00458	DB01116	False	True	('DB00458', 'DB01116')	1
DB00458	DB00657	False	True	('DB00458', 'DB00657')	1
DB00458	DB00575	False	True	('DB00458', 'DB00575')	1
DB00461	DB01275	False	True	('DB00461', 'DB01275')	1
DB00461	DB01180	False	True	('DB00461', 'DB01180')	1
DB00461	DB00559	False	True	('DB00461', 'DB00559')	1
DB00461	DB00575	False	True	('DB00461', 'DB00575')	1
DB00461	DB00590	False	True	('DB00461', 'DB00590')	1
DB00461	DB00657	False	True	('DB00461', 'DB00657')	1
DB00461	DB00765	False	True	('DB00461', 'DB00765')	1
DB00461	DB00968	False	True	('DB00461', 'DB00968')	1
DB00461	DB01018	False	True	('DB00461', 'DB01018')	1
DB00461	DB01089	False	True	('DB00461', 'DB01089')	1
DB00461	DB01116	False	True	('DB00461', 'DB01116')	1
DB00461	DB01119	False	True	('DB00461', 'DB01119')	1
DB00461	DB01170	False	True	('DB00461', 'DB01170')	1
DB00461	DB01626	False	True	('DB00461', 'DB01626')	1
DB00461	DB04840	False	True	('DB00461', 'DB04840')	1
DB00461	DB06403	False	True	('DB00461', 'DB06403')	1
DB00461	DB06762	False	True	('DB00461', 'DB06762')	1
DB00461	DB08931	False	True	('DB00461', 'DB08931')	1
DB00461	DB08932	False	True	('DB00461', 'DB08932')	1
DB00461	DB09206	False	True	('DB00461', 'DB09206')	1
DB00461	DB09242	False	True	('DB00461', 'DB09242')	1
DB00461	DB09363	False	True	('DB00461', 'DB09363')	1
DB00461	DB11738	False	True	('DB00461', 'DB11738')	1
DB00461	DB12661	False	True	('DB00461', 'DB12661')	1
DB00461	DB12945	False	True	('DB00461', 'DB12945')	1
DB00461	DB13211	False	True	('DB00461', 'DB13211')	1
DB00461	DB13410	False	True	('DB00461', 'DB13410')	1
DB00461	DB13429	False	True	('DB00461', 'DB13429')	1
DB00461	DB13435	False	True	('DB00461', 'DB13435')	1
DB00461	DB13452	False	True	('DB00461', 'DB13452')	1
DB00461	DB13575	False	True	('DB00461', 'DB13575')	1
DB00461	DB13604	False	True	('DB00461', 'DB13604')	1
DB00461	DB13631	False	True	('DB00461', 'DB13631')	1
DB00461	DB13779	False	True	('DB00461', 'DB13779')	1
DB00461	DB00820	False	True	('DB00461', 'DB00820')	1
DB00462	DB00657	False	True	('DB00462', 'DB00657')	1
DB00462	DB01116	False	True	('DB00462', 'DB01116')	1
DB00462	DB00575	False	True	('DB00462', 'DB00575')	1
DB00462	DB01018	False	True	('DB00462', 'DB01018')	1
DB00462	DB09242	False	True	('DB00462', 'DB09242')	1
DB00462	DB11738	False	True	('DB00462', 'DB11738')	1
DB00463	DB00765	False	True	('DB00463', 'DB00765')	1
DB00463	DB00657	False	True	('DB00463', 'DB00657')	1
DB00463	DB01116	False	True	('DB00463', 'DB01116')	1
DB00463	DB01018	False	True	('DB00463', 'DB01018')	1
DB00463	DB01626	False	True	('DB00463', 'DB01626')	1
DB00463	DB12661	False	True	('DB00463', 'DB12661')	1
DB00463	DB00575	False	True	('DB00463', 'DB00575')	1
DB00465	DB01275	False	True	('DB00465', 'DB01275')	1
DB00465	DB01180	False	True	('DB00465', 'DB01180')	1
DB00465	DB00559	False	True	('DB00465', 'DB00559')	1
DB00465	DB00575	False	True	('DB00465', 'DB00575')	1
DB00465	DB00590	False	True	('DB00465', 'DB00590')	1
DB00465	DB00657	False	True	('DB00465', 'DB00657')	1
DB00465	DB00765	False	True	('DB00465', 'DB00765')	1
DB00465	DB00968	False	True	('DB00465', 'DB00968')	1
DB00465	DB01018	False	True	('DB00465', 'DB01018')	1
DB00465	DB01089	False	True	('DB00465', 'DB01089')	1
DB00465	DB01116	False	True	('DB00465', 'DB01116')	1
DB00465	DB01119	False	True	('DB00465', 'DB01119')	1
DB00465	DB01170	False	True	('DB00465', 'DB01170')	1
DB00465	DB01626	False	True	('DB00465', 'DB01626')	1
DB00465	DB04840	False	True	('DB00465', 'DB04840')	1
DB00465	DB06403	False	True	('DB00465', 'DB06403')	1
DB00465	DB06762	False	True	('DB00465', 'DB06762')	1
DB00465	DB08931	False	True	('DB00465', 'DB08931')	1
DB00465	DB08932	False	True	('DB00465', 'DB08932')	1
DB00465	DB09206	False	True	('DB00465', 'DB09206')	1
DB00465	DB09242	False	True	('DB00465', 'DB09242')	1
DB00465	DB09363	False	True	('DB00465', 'DB09363')	1
DB00465	DB11738	False	True	('DB00465', 'DB11738')	1
DB00465	DB12661	False	True	('DB00465', 'DB12661')	1
